name,sport,longitude,latitude,opening_hours,contact:phone,website,addr:street,addr:city,addr:housenumber,addr:postcode,addr:country
FIT TEC,,3.1194055,45.7752368,,,,Boulevard Jean Moulin,,15,63000.0,FR
Zone K Crossfit,,5.9094991,48.698421,,+33 3 83660996,https://www.zonekcrossfit.com/,,,582,,FR
Lemon One Fitness,,4.8437777,47.0132102,"Mo-We 09:00-13:00,14:00-19:15; Sa 09:00-13:00",,https://www.lemon1-fitness.fr/,,,,,FR
,fitness,-0.813506,45.7479127,,,,,,,,FR
Basic-Fit,,3.186931,45.775522,,,,,,,,FR
On Air,,4.367579,43.8237724,,,,Rue du Forez,,42,30000.0,FR
On Air,,5.9996305,43.1366724,,,,,,,,FR
,fitness,6.8551708,47.5575588,,,,,,,,FR
Fitness Park,fitness,3.1822335,50.6887997,Mo-Su 06:00-23:00,,https://www.fitnesspark.fr/club/roubaix-mcarthurglen/,Mail de Lannoy,Roubaix,95,59100.0,FR
,fitness,1.6596649,50.8845742,,,,,,,,FR
Flowfit,,2.2497397,48.5881814,,,,,,,,FR
Fitness Park,,55.4684315,-21.3369255,,,,Rue de la Cayenne,,30,97410.0,FR
On Air,,55.4727358,-21.3243181,,,,Rue des Olivines,,9,97410.0,FR
,fitness,2.1008377,48.909581,,,,,,,,FR
Basic Fit,,-0.7553844,48.0618424,,,,,,,,FR
Basic-Fit,,5.9348238,43.1197531,,,,Rue du Murier,,,,FR
Basic Fit,,0.7870193,47.3971171,"Mo-Fr 06:00-22:30; Sa, Su 09:00-19:00",,https://www.basic-fit.com/,,,,,FR
,,2.2796707,48.8941011,,,,,,,,FR
L'Orange Bleue,,-0.5492795,47.4748142,"Mo,Tu,Th 09:30-21:00; We,Fr 12:00-21:00; Sa 09:30-12:30",,,,,,,FR
Espace de Street Workout,fitness,1.2939243,46.0320043,,,,,,,,FR
À Caen La Forme,fitness,-0.3884438,49.1755371,Mo-Fr 07:00-20:00; Sa 07:00-13:00,,http://www.acaenlaforme.fr/,Rue du Parc des Sports,Caen,1,14000.0,FR
WeFit,,-0.8581311,47.0586161,,,,,,,,FR
Basic-Fit,,1.4542114,49.1050282,,,,,,,,FR
My Big Bang,ems,4.3529595,43.8322524,"Mo-Fr 08:30-14:00,16:00-19:30; Sa 09:00-14:30",,https://www.my-big-bang.fr/nos-studios-delectro-stimulation/electrostimulation-nimes/,Place Hubert Rouger,Nîmes,3,30900.0,FR
,fitness,4.3187154,43.8256219,,,,,,,,FR
,fitness,4.316043,43.8254016,,,,,,,,FR
,fitness,4.3171434,43.8253628,,,,,,,,FR
,fitness,4.317231,43.8259115,,,,,,,,FR
,fitness,4.3203347,43.8261275,,,,,,,,FR
Body Fit,,-0.4426188,45.4322636,"Mo-Su,PH 06:00-23:00",,,,,,,FR
CrossFit Korrigan,,-1.6267134,48.1048282,Mo-Th 07:00-21:00; Fr 07:00-20:00; Sa 09:00-12:00,,https://www.crossfitkorrigan.com/,Rue de l'Oseraie,Cesson-Sévigné,8,35510.0,FR
Basic-Fit,,5.8947044,48.1891187,Mo-Fr 06:00-22:30; Sa-Su 09:00-19:00,,,Rue Division Leclerc,Contrexéville,566,88140.0,FR
Atelier échelle horizontale,fitness,4.302898,43.8548711,,,,,,,,FR
Atelier poutre d'équilibre,fitness,4.3044997,43.854595,,,,,,,,FR
Atelier barres parallèles,fitness,4.3042815,43.8537874,,,,,,,,FR
Atelier espalier d'abdominaux,fitness,4.3066293,43.8537443,,,,,,,,FR
Atelier étirements,fitness,4.3061869,43.8542569,,,,,,,,FR
Atelier Suspentions,fitness,4.3062403,43.8537367,,,,,,,,FR
Atelier mini-haies,fitness,4.3051755,43.8544106,,,,,,,,FR
Atellier slalom,fitness,4.3057967,43.8534859,,,,,,,,FR
Atellier abdominaux,fitness,4.3050154,43.8534489,,,,,,,,FR
,fitness,-4.5300565,48.3772316,,,,,,,,FR
,fitness,1.9729693,47.9035013,,,,,,,,FR
,fitness,1.9729651,47.9034698,,,,,,,,FR
,fitness,1.9729573,47.903429,,,,,,,,FR
,fitness,1.9729003,47.9034955,,,,,,,,FR
,fitness,1.9728924,47.9034553,,,,,,,,FR
,fitness,1.9728314,47.9034889,,,,,,,,FR
,fitness,6.0012305,49.1927008,,,,,,,,FR
CrossFit Castres,crossfit,2.2270827,43.5963445,,,,Avenue Albert 1er,,179,,FR
,fitness,-0.3393206,49.1509104,,,,,,,,FR
,fitness,-0.3383757,49.1507184,,,,,,,,FR
,fitness,-0.3376301,49.1506186,,,,,,,,FR
,fitness,-0.3332288,49.1502881,,,,,,,,FR
,fitness,-0.3399208,49.150931,,,,,,,,FR
,fitness,-0.3403568,49.150928,,,,,,,,FR
,fitness,-0.3408498,49.1511527,,,,,,,,FR
,fitness,-0.3407928,49.1513683,,,,,,,,FR
,fitness,-0.3409699,49.1515103,,,,,,,,FR
,fitness,-0.3406665,49.1518167,,,,,,,,FR
,fitness,-0.3399054,49.1521995,,,,,,,,FR
,fitness,-0.3396374,49.1524111,,,,,,,,FR
,fitness,-0.3393216,49.1525865,,,,,,,,FR
,fitness,-0.3389904,49.1527698,,,,,,,,FR
,fitness,-0.3387054,49.1529633,,,,,,,,FR
CrossFit Cholet,,-0.915292,47.0900012,,,,,,,,FR
Agrès de sport,fitness,-3.2494271,48.7326868,,,,,,,,FR
,fitness,5.4654497,46.6647009,,,,,,,,FR
UPAKRAMA YOGA,yoga,5.0554553,43.4085999,,,,,,,,FR
L'Orange Bleue,,0.1047512,49.4912522,,,,Rue Louis Brindeau,Le Havre,93,76600.0,FR
Sports Loisirs Aventures,,2.9615188,42.5729236,,,,,,,,FR
Bio Fitness Club,,5.4474564,43.5329125,,,,,,,,FR
Basic-Fit,,6.0968973,45.8779356,,,,,,,,FR
,fitness,2.6273333,47.9620321,,,,,,,,FR
,fitness,2.6272109,47.9620342,,,,,,,,FR
,fitness,2.6271651,47.9620866,,,,,,,,FR
,fitness,2.6270428,47.9620935,,,,,,,,FR
,fitness,2.6271104,47.9620655,,,,,,,,FR
,fitness,2.6271522,47.9619982,,,,,,,,FR
,fitness,2.6270993,47.9619728,,,,,,,,FR
,fitness,2.6270223,47.9620175,,,,,,,,FR
,fitness,2.6270076,47.9619475,,,,,,,,FR
,fitness,2.1471893,43.4778663,,,,,,,,FR
,fitness,2.147145,43.4779894,,,,,,,,FR
,fitness,2.1471242,43.4780541,,,,,,,,FR
,fitness,2.1471655,43.4779286,,,,,,,,FR
Basic-Fit,,6.6327989,44.8948263,,,,Avenue Général de Gaulle,,6,5101.0,FR
Moonrise Yoga,,5.3894103,43.3026137,,,https://www.moonrise-yoga.com/,,,,,FR
Basic Fit,,6.0764182,43.3182629,,,,,,,,FR
,fitness,5.4733533,43.4527382,,,,,,,,FR
,fitness,5.4734143,43.4527276,,,,,,,,FR
,fitness,5.4734722,43.4527141,,,,,,,,FR
,fitness,0.4691735,45.894424,,,,,,,,FR
Evasion Sport,fitness;electrosimulation,5.0015658,45.7306076,Mo-Fr 10:00-19:00; Sa 09:00-13:00,,https://evasion-sport.fr/,Rue Victor Hugo,Genas,3,69740.0,FR
,fitness,2.4098489,48.840903,,,,,,,,FR
,fitness,2.4098541,48.841148,,,,,,,,FR
,fitness,2.4098002,48.8411507,,,,,,,,FR
,fitness,2.4098522,48.8409958,,,,,,,,FR
,fitness,2.4117063,48.8442598,,,,,,,,FR
l'Orange bleue,,5.3953953,43.307741,,,https://www.lorangebleue.fr/clubs/marseille/,,,,,FR
Dojo Flers Sart Jef Martin,,3.1444245,50.6523417,,,,,,,,FR
Basic-Fit,,2.3731612,48.8569417,Mo-Fr 06:00-22:30; Sa-Su 09:00-19:00,,https://basic-fit.com/,Rue Froment,,6,75011.0,FR
Team Moveat,,6.1819877,49.1008448,,,,,,,,FR
,fitness,-0.399776,45.5581806,,,,,,,,FR
,fitness,-0.3997666,45.5580943,,,,,,,,FR
,fitness,-0.4006797,45.5579619,,,,,,,,FR
Harmonie Studio,yoga,3.5232485,50.3600339,,,,,,,,FR
Fit Club,,-0.3708782,49.1835624,,,,,,,,FR
Yoga & Co,yoga,2.3706121,48.8848353,,,https://yogaandco.fr,Quai de la Seine,,15,,FR
Do Sport,,2.3093843,48.8265548,,+33 1 76 53 97 75,https://www.dosport-paris.fr,,,,,FR
APTAVITA,,2.921343,42.6880974,,,,,,,,FR
Team Factory,,-0.3562558,49.1784251,Mo-We 14:00-23:00; Th 14:00-00:00; Fr-Sa 14:00-01:00; Su 15:00-23:00,,https://teamfactory-france.fr/,,,,,FR
,fitness,6.8686085,47.3739732,,,,,,,,FR
,fitness,2.2877903,48.8798638,,,,,,,,FR
,fitness,2.2877405,48.879849,,,,,,,,FR
,fitness,2.2878176,48.8798929,,,,,,,,FR
Neoness,,2.3777686,48.9027705,,,,,,,,FR
OM studio,yoga,-1.0318086,45.6243128,,,,,,,,FR
,fitness,7.7211462,48.5874929,,,,,,,,FR
,fitness,7.7210267,48.5874773,,,,,,,,FR
Étirements,fitness,7.7421231,48.5850953,,,,,,,,FR
,fitness,7.7220404,48.5876614,,,,,,,,FR
,fitness,7.7212647,48.5875059,,,,,,,,FR
Abdos double,fitness,7.7306155,48.5876019,,,,,,,,FR
,fitness,7.7305857,48.5876311,,,,,,,,FR
,fitness,7.7305924,48.5876331,,,,,,,,FR
Parcours sportif - Mail Charles Pierre,fitness,7.7231649,48.5879155,,,,,,,,FR
orange bleue,,-1.1484169,43.8817252,,,,Rue Sainte-Hélène,Castets,128,40260.0,FR
,fitness,4.8456125,45.8148294,,,,,,,,FR
Body Hit,,2.4339101,48.796218,,,,,,,,FR
Sun Form City,fitness,2.147937,43.9239894,Mo-Su 06:00-23:00,+33 981163636,,,,,,FR
L'Orange bleue,,-0.0994172,47.2648778,"Mo,Tu,Th,Fr 09:30-21:00; We 17:00-21:00; Sa 09:30-12:30",,,,,,,FR
On Air,,6.121437,45.89985,,,,,,,,FR
,,6.5140155,47.6747254,,,,,,,,FR
Health and Fitness,,6.5157267,47.6716036,,,,,,,,FR
Ironbody Fit,,4.8544341,45.7635511,"Mo-Fr 10:00-14:00,16:00-20:00; Sa 09:00-13:00",+33769837695,https://ironbodyfit.com/nos-studios/lyon-part-dieu,,,,,FR
Jardin secret,pilates; yoga,2.9186699,42.6888373,,,https://www.jardin-secret-perpignan.fr/,,,,,FR
Centre de yoga et ayurvéda,yoga,0.8994793,45.8874806,,,https://www.nathalie-yoga.com/,,,,,FR
Immanis Crossfit,,7.6991014,48.5357736,,,,,,,,FR
Basic Fit,,6.1241025,45.9242278,,,,,,,74000.0,FR
,fitness,4.815676,45.7330844,,,,,,,,FR
,fitness,4.8157464,45.7330907,,,,,,,,FR
,fitness,4.815629,45.7330611,,,,,,,,FR
,fitness,4.815645,45.7330068,,,,,,,,FR
,fitness,2.3962141,48.8963841,,,,,,,,FR
,fitness,2.3962501,48.8964042,,,,,,,,FR
,fitness,2.3962703,48.8964177,,,,,,,,FR
,fitness,2.3963093,48.8964349,,,,,,,,FR
,fitness,2.3962887,48.8964299,,,,,,,,FR
,fitness,2.4005532,48.8805855,,,,,,,,FR
,fitness,2.4005653,48.8805483,,,,,,,,FR
,fitness,2.4005712,48.8805234,,,,,,,,FR
,fitness,2.4005348,48.8806236,,,,,,,,FR
,fitness,2.4005292,48.8806433,,,,,,,,FR
,fitness,2.400525,48.880661,,,,,,,,FR
,fitness,2.4005298,48.880674,,,,,,,,FR
Basic-Fit,,1.1414362,42.9850617,Mo-Fr 06:00-22:30,,https://www.basic-fit.com/fr-fr/clubs/basic-fit-saint-girons-rue-villefranche-0a9436acc0d84dc0a934ec457a036740.html,,,,,FR
,fitness,4.5801659,45.2986791,,,,,,,,FR
,fitness,-0.4676764,44.7688098,,,,,,,,FR
Chez June,yoga;pilates,-1.5645866,47.2116071,,,https://chezjune.fr/,,Nantes,7,44000.0,FR
Parcours de santé,fitness,2.9531594,42.518643,24/7,,,,,,,FR
Basic-Fit,,2.0822913,49.0763227,"Mo-Fr 06:00-22:30; Sa,Su 09:00-19:00",,,,,,,FR
Joy!,fitness,2.4904807,48.7854922,Mo-Fr 07:00-22:00; Sa 07:00-21:00; Su 09:00-14:00,,www.joy-fit.fr,,,,,FR
Gigafit,,-1.7264213,48.5503359,,,,,,,,FR
,fitness,2.247394,48.9212206,,,,,,,,FR
,fitness,2.2473875,48.9211625,,,,,,,,FR
,fitness,2.2478467,48.921261,,,,,,,,FR
,fitness,2.2478995,48.9212521,,,,,,,,FR
,fitness,2.2478566,48.921218,,,,,,,,FR
,fitness,-0.3584871,49.1760755,,,,,,,,FR
,fitness,-0.3588636,49.1758374,,,,,,,,FR
,fitness,-0.3593014,49.1755563,,,,,,,,FR
,fitness,-0.3596695,49.1753165,,,,,,,,FR
,fitness,-0.3599761,49.1751176,,,,,,,,FR
Le bonheur en soi,yoga,0.9009254,45.8867628,,,http://lebonheurensoi.fr/,,,,,FR
Yoga Studio,yoga,1.3441293,43.6076808,,,,,,,,FR
Aire de jeux de Vouilloux,fitness,6.6322931,45.9479726,,,,,,,,FR
,fitness,2.1309819,47.8027078,,,,,,,,FR
,fitness,2.1304161,47.8039785,,,,,,,,FR
,fitness,6.6670455,43.5853909,,,,,,,,FR
Basic Fit,,-0.5700832,44.8783236,,,,,,,,FR
Crossfit Pontaillac,,-1.053561,45.6478218,,,,,,,,FR
,fitness,5.8866441,45.5567112,,,,,,,,FR
"Studio Pilates, Fitness & Coaching Clinical Du Movement",,5.2938284,43.5499799,,,,"Avenue du Mas des Platanes, Bat A3",Ventabren,"Résidence Horizon Naturel, 339",13122.0,FR
Altitude,fitness;yoga;multi,6.8737683,48.0747766,"Mo-Su,PH 06:00-23:00",,,,,,,FR
Basic-Fit,fitness,1.4194517,43.6167198,Mo-Fr 06:00-22:30; Sa-Su 09:00-19:00,,,Boulevard de Genève,Toulouse,27,31200.0,FR
Venice Gym - Trets,fitness,5.6825399,43.4510296,Mo-Su 06:00-23:00,,https://venicegym.fr,Rte de Puyloubier Quartier pragues,Trets,,13530.0,FR
Basic-Fit,fitness,4.0992492,44.1101884,Mo-Fr 06:00-22:30; Sa-Su 09:00-19:00,,https://www.basic-fit.com/fr-fr/salle-de-sport/basic-fit-ales-impasse-du-gardonnet-3bc4a365563e4e8d8a058245f854012d.html,Impasse du Gardonnet,Alès,121,30100.0,FR
,fitness,2.1394755,47.8649413,,,,,,,,FR
,fitness,2.1394739,47.8648617,,,,,,,,FR
,fitness,2.1395734,47.8649125,,,,,,,,FR
,fitness,2.1374239,47.8657865,,,,,,,,FR
,fitness,2.1371392,47.8659384,,,,,,,,FR
,fitness,2.3349461,48.6946822,,,keepcool.com,,,,,FR
Basic-Fit,fitness,2.3442731,48.9489591,Mo-Fr 06:00-22:30; Sa-Su 09:00-19:00,,https://www.basic-fit.com/fr-fr/clubs/opening-clubs/details?sid=Basic-Fit-Villetaneuse-Coming-soon?utm_medium=yext&utm_source=gmb,Route de Saint-Leu,Villetaneuse,8,93430.0,FR
Elite Fitness,,4.7252706,49.7721625,Mo-Su 06:00-23:00,,https://www.elitefitness08.fr,Avenue Forest,Charleville-Mézières,37,8000.0,FR
,fitness,-1.7174795,48.0663837,,,,,,,,FR
,fitness,5.4384617,45.4301806,,,,,,,,FR
,fitness,5.4382928,45.4301044,,,,,,,,FR
,fitness,5.4380916,45.4302126,,,,,,,,FR
,fitness,5.4382002,45.4301938,,,,,,,,FR
,fitness,5.4378831,45.4305095,,,,,,,,FR
,fitness,5.4384577,45.4303533,,,,,,,,FR
Gymnesia,,5.8934352,45.271628,,,,,,,,FR
Open Fit Nice Ouest,,7.2036589,43.6799242,,,https://www.openfit06.fr/,,,,,FR
,fitness,4.077012,44.1365778,,,,,,,,FR
,fitness,4.0826957,44.1345217,,,,,,,,FR
,fitness,5.4860977,43.4537723,,,,,,,,FR
,fitness,5.4862881,43.453661,,,,,,,,FR
,fitness,5.4863272,43.4536411,,,,,,,,FR
,fitness,5.4863529,43.4536289,,,,,,,,FR
,fitness,5.486376,43.4536187,,,,,,,,FR
,fitness,5.4864359,43.4535735,,,,,,,,FR
,fitness,5.4865299,43.4535216,,,,,,,,FR
,fitness,5.4865712,43.4535022,,,,,,,,FR
,fitness,5.4866938,43.4534334,,,,,,,,FR
,fitness,5.4860806,43.453774,,,,,,,,FR
,fitness,5.4862223,43.4537098,,,,,,,,FR
Fitness Park,fitness,2.3514704,48.9379644,Mo-Su 06:00-23:00,,https://www.fitnesspark.fr/club/saint-denis-carnot/,Boulevard Carnot,Saint-Denis,35,93200.0,FR
Basic-Fit,,4.74739,44.3095034,,,,,,,,FR
,fitness,4.1257958,43.6666373,,,,,,,,FR
,fitness,4.1279731,43.6653027,,,,,,,,FR
,fitness,4.1403921,43.6707774,,,,,,,,FR
,fitness,4.1359236,43.6872204,,,https://www.lunel.com/2021/10/29/le-sport-de-plein-air/,,,,,FR
Hugeia,,4.1721976,46.1597584,08:30-21:00,+33 6 68 65 25 18,,,,,,FR
Crossfit CP 95,,2.0707591,49.0503967,,,,,,,,FR
,fitness,3.516323,49.2085085,,,,,,,,FR
,fitness,6.6455954,47.1917353,,,,,,,,FR
,fitness,4.2803759,47.4498643,,,,,,,,FR
,fitness,4.2803448,47.4498213,,,,,,,,FR
,fitness,4.2803962,47.4498324,,,,,,,,FR
,fitness,2.2470641,48.7316575,,,,,,,,FR
,fitness,5.0319227,47.3246143,,,,,,,,FR
Global Impulse,,2.2604034,48.9905446,,,https://www.global-impulse.fr/,,,,,FR
,fitness,3.1018003,45.7332993,,,,,,,,FR
,fitness,-4.2415723,48.4854823,,,,,,,,FR
,fitness,2.2478794,48.9212359,,,,,,,,FR
,fitness,-0.9668768,45.9560034,,,,,,,,FR
,fitness,-0.9651318,45.9569778,,,,,,,,FR
,fitness,-0.966554,45.9563797,,,,,,,,FR
,fitness,-0.9640989,45.9570688,,,,,,,,FR
Salle de musculation,,4.8686077,45.7795589,,,,,,,,FR
,fitness,5.2497448,43.5329729,,,,,,,,FR
,fitness,6.7276113,43.3883683,,,,,,,,FR
,fitness,2.3543161,48.811516,,,,,,,,FR
,fitness,2.3543117,48.8114765,,,,,,,,FR
,fitness,2.3543566,48.8115623,,,,,,,,FR
Basic Fit,,4.0798795,44.0725184,,,,,,,,FR
L'Orange Bleue,,-1.5785486,43.3594758,Mo-Su 06:00-23:00,,https://www.lorangebleue.fr/clubs/saint-pee-sur-nivelle/,Rue de Errota Berria,Saint-Pée-sur-Nivelle,420,64310.0,FR
Kinka Sport,padel;tennis;swimming;fitness;soccer,-1.5807696,43.361147,Mo-Su 08:30-22:00,,https://www.kinka.eus/fr,Rue de Errota Berria,Saint-Pée-sur-Nivelle,684,64310.0,FR
My New Body,pilates,6.1208394,43.1215015,Mo-Fr 09:00-20:00,,http://www.mynewbody.fr,Avenue Riondet,,20,,FR
Like You Fitness,,2.3024521,48.9053177,Mo 06:00-23:00; Tu 06:00-23:00; We 06:00-23:00; Th 06:00-23:00; Fr 06:00-23:00; Sa 06:00-23:00; Su 06:00-23:00; ,,https://www.likeyoufitness.fr/,,,,,FR
Salle de fitness BODYFIT RODEZ,,2.574222,44.364425,Mo 06:00-23:00; Tu 06:00-23:00; We 06:00-23:00; Th 06:00-23:00; Fr 06:00-23:00; Sa 06:00-23:00; Su 06:00-23:00; ,,https://www.body-fit.fr/,,,,,FR
L'Appart Fitness,,4.9125229,45.7058518,Mo 06:00-23:00; Tu 06:00-23:00; We 06:00-23:00; Th 06:00-23:00; Fr 06:00-23:00; Sa 06:00-23:00; Su 06:00-23:00; ,,https://www.lappartfitness.com/clubs/saint-priest-69800,,,,,FR
Gulf Stream,,-0.0600687,47.2162468,"Mo 08:00-20:30; Tu 08:00-20:00; We 09:00-20:30; Th 08:00-21:00; Fr 14:00-20:00,08:00-11:30; Sa 09:00-12:00; ",,https://www.gulfstream-remiseenforme.fr/,,,,,FR
Centre de fitness MYO DOJO Électrostimulation Miha Bodytec Lyon Confluence,,4.8181658,45.7431501,Mo-Fr 08:00-20:00,,https://www.myodojo.com/,,,,,FR
Salle de sport Moving Alès,,4.0845902,44.1224645,Mo 06:00-22:00; Tu 06:00-22:00; We 06:00-22:00; Th 06:00-22:00; Fr 06:00-22:00; Sa 07:00-18:00; Su 07:00-18:00; ,,https://www.moving-ales.com/,,,,,FR
On air,,-0.5528642,44.8353739,,,,,,,,FR
,fitness,7.0830667,43.5689854,,,,,,,,FR
,fitness,4.8924435,43.9150566,,,,,,,,FR
,,2.9385134,45.5629456,,,,,,,,FR
,fitness,4.9059484,45.6543221,,,,,,,,FR
,fitness,4.0999057,49.2623035,,,,,,,,FR
Basic-Fit,fitness,6.2332888,49.1066272,,,,,,,,FR
l'Orange bleue,,-1.5034157,47.3018128,,,https://www.lorangebleue.fr/clubs/carquefou/,,,,,FR
Kamanao,yoga,7.1188965,43.5777773,,,,,,,,FR
,,1.0498364,46.1216702,,,,,,,,FR
Body Hit,,2.3333254,48.9109981,,,,,,,,FR
,fitness,6.4117991,48.2882852,,,,,,,,FR
,fitness,6.4117262,48.2882749,,,,,,,,FR
,fitness,6.4118553,48.2881523,,,,,,,,FR
Relax forme,,-0.9931347,45.9490612,,,,,,,,FR
Forme Up,,0.2143666,45.6356554,,,,,,,,FR
Studio Shen Yoga,yoga,1.3253213,43.4643666,,,,,,,,FR
,fitness,1.937907,45.3596373,,,,,,,,FR
,fitness,-0.8111171,46.4582779,,,,,,,,FR
L'Orange Bleue,,1.3013527,48.0691203,,,,,,,,FR
,fitness,-0.3449412,46.2577782,,,,,,,,FR
Bodyhit,,2.3400783,48.8396176,"Mo 08:00-14:00, 17:00-21:00; Tu 08:00-14:00, 17:00-20:00; We 08:00-14:00, 17:00-21:00; Fr 08:00-14:00, 17:00-21:00; Sa 09:00-14:00",+33 1 42 03 53 13,https://bodyhit.fr/bodyhit-club-paris-5-port-royal/,,,,,FR
Basic-Fit,,2.4216093,48.9191019,,,,,,,,FR
,fitness,3.1614815,43.1523043,,,,,,,,FR
Fitness Park,,2.2547365,49.1529157,Mo-Su 06:00-23:00,+33 1 30 34 72 05,https://www.fitnesspark.fr/club/persan/,,,,,FR
,fitness,-1.3163164,43.6641342,,,,,,,,FR
,fitness,-2.0198851,48.4737738,,,,,,,,FR
,fitness,-1.7531038,46.6038034,,,,,,,,FR
,fitness,-1.7531319,46.6040651,,,,,,,,FR
,fitness,-1.7539094,46.6027709,,,,,,,,FR
,fitness,-1.7542457,46.6024027,,,,,,,,FR
,fitness,-1.7531633,46.6042348,,,,,,,,FR
,fitness,-1.7531646,46.6041887,,,,,,,,FR
,fitness,-1.752237,46.6045841,,,,,,,,FR
,fitness,-1.7524094,46.6045476,,,,,,,,FR
,fitness,-1.7511692,46.6045169,,,,,,,,FR
,fitness,-1.7514992,46.6040145,,,,,,,,FR
,fitness,-1.7519435,46.6035487,,,,,,,,FR
,fitness,-1.7527128,46.6038235,,,,,,,,FR
Fitness Park,,4.9345534,45.7505862,,,https://www.fitnesspark.fr/club/decines-charpieu/,Avenue Franklin Roosevelt,Décines-Charpieu,181,69150.0,FR
Cortigrimpe,,6.1080056,45.9363483,"Mo, Fr 10:00-22:00; Tu, Th 10:00-23:00; We 09:00-22:00; Sa-Su 09:00-19:00",,http://www.corti-grimpe.fr,,,,74370.0,FR
Le carreau,,-0.5731735,44.855151,,,https://www.lecarreau.net,,,,,FR
,fitness,1.652166,50.4181295,,,,,,,,FR
,fitness,1.65204,50.4179919,,,,,,,,FR
FitnessBoutique,fitness,-1.521662,43.4933606,Mo-Sa 10:00-19:00,,https://anglet.fitnessboutique.fr/,Rue Jean Hausseguy,Anglet,20,64600.0,FR
KeepCool,,1.4413448,44.4266606,,,,,,,,FR
,fitness,4.9059537,45.6543665,,,,,,,,FR
,fitness,4.9059514,45.6543846,,,,,,,,FR
,fitness,4.9083329,45.6528715,,,,,,,,FR
Basic-Fit,,2.0663886,44.5901873,Mo-Fr 06:00-22:30 ; Sa-Su 09:00-19:00,,https://www.basic-fit.com/fr-fr/clubs/basic-fit-capdenac-le-vern-fc219178ba1a49899266f758f63ce928.html,,,,,FR
Crossfit Leoniz,fitness;crossfit,-4.3185032,48.5620465,,,https://www.crossfitleoniz.fr/,,,,,FR
Salle de musculation,fitness,3.3235892,43.2632954,,,,,,,,FR
,fitness,6.8439508,47.3901057,,,,,,,,FR
,fitness,3.0784262,43.470726,,,,,,,,FR
,fitness,-1.155287,43.496716,,,,,,,,FR
,fitness,165.4904639,-21.5666775,,,,,,,,FR
L'Orange Bleue Chalonnes-sur-Loire,gymnatics; boxing; bodybuilding,-0.7591805,47.3482767,,,https://www.lorangebleue.fr/clubs/chalonnes-sur-Loire/,,,,,FR
KeepCool,fitness,4.109388,44.1176338,"Mo-Fr 09:00-20:00 open ""Accueil""; Sa 10:00-14:00, 15:00-18:00 open ""Accueil""; Su 10:00-14:00 open ""Accueil""; 6:00-23:00 open ""Accès""",,https://www.keepcool.fr/s/salle-de-sport-ales,Chemin de Trespeaux,Alès,1605,30100.0,FR
Only U,fitness,4.110565,44.1108961,06:00-23:00,,https://only-u.club,Route d'Uzès,Alès,1115,30100.0,FR
,fitness,-2.7914516,47.4895093,,,,,,,,FR
BodyHit,,4.8555171,45.7689229,,,,,,,,FR
Body Hit,,-0.8832709,47.0607752,,,,,,,,FR
Basic-Fit,,-0.6996541,49.2847475,,,,Avenue Yves Dubois de La Cotardière,Bayeux,,14400.0,FR
Basic-Fit,,2.1961018,48.8171332,,,,,,,,FR
,fitness,1.6528135,45.0116536,,,,,,,,FR
,fitness,1.6527378,45.0116234,,,,,,,,FR
,fitness,1.6526459,45.0115873,,,,,,,,FR
,fitness,1.6525531,45.0115548,,,,,,,,FR
,fitness,1.652799,45.0115743,,,,,,,,FR
,fitness,1.6527398,45.0115502,,,,,,,,FR
,fitness,1.652678,45.0115271,,,,,,,,FR
On Air Fitness,,3.4219862,46.1265251,"Mo-Fr 06:00-22:00; Sa,Su 08:00-20:00",,,,,,,FR
Basic-Fit,,0.1295601,45.638376,Mo-Fr 06:00-22:30; Sa-Su 09:00-19:00,,https://www.basic-fit.com/fr-fr/clubs/basic-fit-angouleme-bordeaux--e476bdd50d4f40c9a17778b5c227ef6f.html,,,,,FR
,fitness,-1.5818684,47.221168,,,,,,,,FR
,fitness,-1.5820349,47.2211816,,,,,,,,FR
,fitness,-1.5820041,47.2213401,,,,,,,,FR
,fitness,-1.5823629,47.2213995,,,,,,,,FR
,fitness,-1.5817889,47.2212744,,,,,,,,FR
,fitness,-1.5819026,47.2213125,,,,,,,,FR
L'Orange Bleue Reims - Bezannes,gym;musculation;cours_collectifs,4.0040186,49.215861,,,https://www.lorangebleue.fr/clubs/bezannes/,,,,,FR
Fitness Park,fitness,2.4858567,48.906365,Mo-Su 06:00-23:00,,https://www.fitnesspark.fr/club/bondy/,Avenue du Général Gallieni,Bondy,162,93140.0,FR
Atlantide,fitness,1.265082,45.8297442,,,,,,,,FR
,fitness,-1.6000697,48.2618768,,,,,,,,FR
First Up,,4.3896666,45.4378319,"Mo-Fr 08:00-14:00,16:00-19:00; Sa 09:00-13:00,14:00-18:00",+33 4 77 37 20 74,,,,,,FR
Fitness Club 415,,7.5544249,48.0107188,,,,,,,,FR
,fitness,6.6904073,49.1964871,,,,,,,,FR
,fitness,6.6864549,49.1950352,,,,,,,,FR
,fitness,4.3735302,45.4531148,,,,,,,,FR
,yoga,-1.5310151,47.2227013,,,,,,,,FR
L'appart fitness,,5.0455292,47.3557841,Mo-Su 06:00-23:00,,https://clubs.lappartfitness.com/33-l-appart-fitness-dijon-toison-d-or,Allée Alfred Nobel,,4,21000.0,FR
Healty Sport,fitness,1.9060964,47.9058772,,+33 6 89 84 95 41,,Boulevard Alexandre Martin,Orléans,77;79,45000.0,FR
